Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
KDSB,UNet,5,outtanh,5,1,0.42816286617307925,0.5118873119354248,0.24362855102287423,0.07110025667934677,0.2108085453510285,0.17107374768479966,0.41561173260989015,noise
KDSB,UNet,5,outsoftmax,5,0,0.42579067349433897,0.4656793475151062,0.16953580714378455,0.06872806400060649,0.1646005809307099,0.15213063778542554,0.45177003791665427,noise
KDSB,UNet,5,actleakyrelu,5,1,0.38046232610940933,0.3764583766460418,0.20293061192500733,0.023399716615676858,0.07537961006164551,0.1600981562150952,0.1461585640264267,noise
KDSB,UNet,5,base,5,1,0.3570626094937325,0.3010787665843963,0.29491738650189353,0.0,0.0,,,reference
KDSB,UNet,5,actsilu,5,0,0.35443345904350276,0.3523381650447845,0.09108464697096222,-0.0026291504502297114,0.051259398460388184,0.13803816702269853,0.01904654710314563,noise
KDSB,UNet,5,lossbce,5,0,0.3459522157907486,0.290816068649292,0.18153168612572074,-0.01111039370298389,-0.010262697935104315,0.1548741540275552,0.07173820430365115,noise
KDSB,UNet,5,actelu,5,1,0.34140905737876887,0.2908156812191009,0.279984999256158,-0.01565355211496361,-0.01026308536529541,0.18186141133818248,0.08607407145793489,noise
KDSB,UNet,5,d5,5,0,0.319801127910614,0.2908549308776855,0.05605339318223546,-0.03726148158311848,-0.010223835706710815,0.13425218638692596,0.27754841530645763,noise
KDSB,UNet,5,outhard,5,0,0.29951383173465723,0.2908147573471069,0.14584034296693305,-0.05754877775907524,-0.010264009237289429,0.1471364472167382,0.3911252367967229,noise
KDSB,UNet,5,noskip,5,1,0.21425872445106503,0.199566438794136,0.06500348313648556,-0.14280388504266744,-0.10151232779026031,0.1350568159560876,1.057361555814397,noise
KDSB,UNet,5,attn,5,2,0.1613990446552634,0.0751286000013351,0.1636613459868613,-0.19566356483846908,-0.22595016658306122,0.15083852361471745,1.297172367837854,noise
